업체명	배출량	주소	시	군구	위도	경도
삼광글라스(주)대구공장	361	대구광역시 달성군 논공읍 논공중앙로 315	대구광역시	달성군 논공읍	128.466163	35.7374156
삼광글라스(주)천안유리공장	0	충청남도 천안시 서북구 입장면 망향로 1112-84	충청남도	천안시 서북구 입장면	127.2359899	36.9085634
삼남석유화학주식회사	0	전라남도 여수시 여수산단로 955	전라남도	여수시	127.7065499	34.8565244
삼명기계공업(주)	5223	경상남도 창원시 성산구 웅남로 324	경상남도	창원시 성산구	128.652337	35.216993
삼보정밀화학공업(주)	1	부산광역시 사상구 학장동 628-2 부산광역시 사상구 학장로 39-37	부산광역시	사상구	128.9738262	35.1375888
삼성SDI울산사업장	787	울산광역시 울주군 삼남면 반구대로 163 삼성SDI	울산광역시	울주군 삼남면	129.0896125	35.5174917
삼성공조(주)	5012	경상남도 창원시 성산구 연덕로 176	경상남도	창원시 성산구	128.66645	35.217351
삼성물산(주)직물부문	4	경상북도 구미시 구미대로 58 제일모직	경상북도	구미시	128.3642114	36.0897117
삼성발레오써멀시스템스(주)	10800	경상남도 창원시 성산구 정동로62번길 28	경상남도	창원시 성산구	128.6855625	35.1950929
삼성에스디아이(주)	0	충청남도 천안시 서북구 번영로 467	충청남도	천안시 서북구	127.11875	36.8433904
삼성에스디아이(주)	0	경상북도 구미시 구미대로 58	경상북도	구미시	128.3642114	36.0897117
삼성전기(주)	0	경기도 수원시 영통구 매영로 150	경기도	수원시 영통구	127.0542726	37.263216
삼성전기(주)부산사업장	0	부산광역시 강서구 녹산산업중로 333	부산광역시	강서구	128.856213	35.095924
삼성전기주식회사	226	세종특별자치시 연동면 삼성길 25 삼성전기	세종특별자치시	연동면	127.3342849	36.5406463
삼성전자(주)하남사업장	0	광주광역시 광산구 하남산단6번로 107	광주광역시	광산구	126.8084828	35.203157
삼성중공업(주)거제조선소	160361	경상남도 거제시 장평3로 80	경상남도	거제시	128.6046025	34.8970284
삼성포리머(주)	0	경기도 안산시 단원구 지원로 15	경기도	안산시 단원구	126.7478251	37.3071291
삼신정밀(주)	0	경상남도 함안군 군북면 함안산단4길 3	경상남도	함안군 군북면	128.321775	35.2921296
삼신화학공업(주)	50	경기도 안산시 단원구 첨단로245번길 58	경기도	안산시 단원구	126.7512844	37.3080043
삼양연마공업(주)분공장	0	경상북도 영천시 본촌공단1길 34	경상북도	영천시	128.9524918	35.9207974
삼양이노켐(주)	789	전라북도 군산시 자유무역1길 133	전라북도	군산시	126.5415149	35.9682807
삼양통상(주)군포공장	56	경기도 군포시 공단로 90	경기도	군포시	126.9508926	37.3524359
삼양화성(주)전주공장	112260	전라북도 전주시 덕진구 온고을로 376	전라북도	전주시 덕진구	127.0875576	35.8486619
삼양화인테크놀로지(주)	325	전북 군산시 자유무역1길 63	전라북도	군산시	126.5412461	35.9622224
삼양화학산업(주)	0	경상남도 양산시 유산공단3길 15	경상남도	양산시	129.0308603	35.3548895
삼양화학실업(주)	226	경기도 시흥시 공단1대로 15	경기도	시흥시	126.7085787	37.3494403
삼영엠텍(주)	0	경상남도 함안군 칠서면 삼칠로 631-35	경상남도	함안군 칠서면	128.4937673	35.3433389
삼영잉크페인트제조(주)	2790	경기도 평택시 포승읍 포승공단로 176	경기도	평택시 포승읍	126.8544198	36.981061
삼우기업(주)	85300	대구광역시 달성군 논공읍 논공중앙로 428	대구광역시	달성군 논공읍	128.475985	35.7433377
삼우스텐레스(주)	50	경기도 시흥시 공단1대로27번길 31	경기도	시흥시	126.710875	37.3506571
삼우중공업	28644	전라남도 광양시 광양읍 율촌산단3로 111 삼우중공업	전라남도	광양시 광양읍	127.5935816	34.9012673
삼원페트라	29	인천광역시 남동구 앵고개로 395	인천광역시	남동구	126.6851046	37.4010601
삼원화학(주)	724	경기도 포천시 소흘읍 초가팔로 22-48	경기도	포천시 소흘읍	127.1464872	37.8230634
삼익THK(주)	0	대구광역시 달서구 성서동로 163	대구광역시	달서구	128.515337	35.835607
삼익THK(주)다산공장	1	경상북도 고령군 다산면 다산산단로 82	경상북도	고령군 다산면	128.389662	35.790483
삼전순약공업주식회사	1535	경기도 평택시 산단로16번길 117	경기도	평택시	127.0812638	37.0352688
삼지금속공업(주)	28	경기도 안산시 단원구 별망로 7	경기도	안산시 단원구	126.7292978	37.3190083
삼진산업(주)	0	인천광역시 남동구 능허대로595번길 18	인천광역시	남동구	126.6800009	37.3935666
삼진전선	1067	충청남도 천안시 동남구 수신면 장산동길 168-37	충청남도	천안시 동남구 수신면	127.3016921	36.744359
삼화비철공업(주)	0	경기도 안산시 단원구 범지기로 147	경기도	안산시 단원구	126.79195	37.3075333
삼화콘덴서공업주식회사	108	경기도 용인시 처인구 남사면 경기동로 227	경기도	용인시 처인구 남사면	127.152604	37.1405999
삼화페인트공업(주)	658	경기도 안산시 단원구 별망로 178	경기도	안산시 단원구	126.7459512	37.3114455
삼화페인트공업(주)	50	충청남도 공주시 탄천면 탄천산업단지길 33-5	충청남도	공주시 탄천면	127.0641814	36.3059575
상신브레이크(주)	60742	대구광역시 달성군 논공읍 논공중앙로33길 10 상신브레이크	대구광역시	달성군 논공읍	128.4546639	35.731825
새빗켐	0	경상북도 김천시 공단로 98	경상북도	김천시	128.1395748	36.1414718
새솔다이아몬드공업(주)	27	경기도 안산시 단원구 신원로91번길 61	경기도	안산시 단원구	126.7570545	37.3160157
서안켐텍(주)	0	경기도 양주시 남면 현석로 833	경기도	양주시 남면	126.9862625	37.8535571
서울화인테크(주)	0	충청남도 아산시 영인면 토정로 412	충청남도	아산시 영인면	126.971063	36.892624
서일전선	0	경기도 동두천시 강변로762번길 15	경기도	동두천시	127.0503242	37.9353868
선영화학(주)청주공장	478	충청북도 청주시 흥덕구 월명로 229	충청북도	청주시 흥덕구	127.453212	36.6544649
성동조선해양(주)	52117	경상남도 통영시 광도면 공단로 940	경상남도	통영시 광도면	128.4265945	34.958747
성림산업(주)	8	경기도 화성시 우정읍 매바위로237번길 45 성림산업	경기도	화성시 우정읍	126.8068313	37.135367
성보공업	23	인천광역시 남구 염전로 255	인천광역시	남구	126.6694791	37.4731591
성보공업(주)	41	인천광역시 서구 장고개로 138	인천광역시	서구	126.6733036	37.4797916
성보화학주식회사(제1공장)	0	경기도 고양시 덕양구 대덕산로 106	경기도	고양시 덕양구	126.86775	37.5806917
성신양회(주)단양공장	0	충청북도 단양군 매포읍 매포길 18	충청북도	단양군 매포읍	128.333199	37.0102597
성안자원	1	경상북도 봉화군 재산면 갈산리 158-2	경상북도	봉화군 재산면	129.0604237	36.8579049
성우산업주식회사	360	경기도 안산시 단원구 산단로20번길 21-13	경기도	안산시 단원구	126.7872241	37.2990352
성우테크론(주)	0	경남 창원시 성산구 창원대로1144번길 55	경상남도	창원시 성산구	128.7056899	35.1916701
성일하이텍(주)	36980	전라북도 군산시 군산산단로 143-15	전라북도	군산시	126.539545	35.9556247
성창기업(주)	97	부산광역시 사하구 다대동 380번지	부산광역시	사하구	128.9749761	35.0522012
성창보드(주)	367	울산광역시 울주군 삼남면 강당로 35	울산광역시	울주군 삼남면	129.0934377	35.519926
성훈경금속(주)	0	경기도 안산시 단원구 해봉로255번길 35	경기도	안산시 단원구	126.7669802	37.3266001
성훈엔지니어링(주)	6	경기도 시흥시 공단1대로379번길 47	경기도	시흥시	126.7424191	37.3326395
세기아케마(주)	242	경상남도 함안군 칠서면 공단동길 10	경상남도	함안군 칠서면	128.4830537	35.3673294
세방산업(주)	335700	광주광역시 광산구 손재로 236	광주광역시	광산구	126.7957739	35.1868521
세방전지(주)	95	경상남도 창원시 성산구 정동로 122	경상남도	창원시 성산구	128.6907173	35.201316
세방전지(주)	363	광주광역시 광산구 하남동 500-4	광주광역시	광산구	126.7936239	35.1899161
세신버팔로주식회사	314	경상남도 함안군 군북면 함안산단2길 9	경상남도	함안군 군북면	128.3173322	35.2908271
세원셀론텍(주)창원지점	0	경상남도 창원시 성산구 공단로 211	경상남도	창원시 성산구	128.647363	35.216485
세원화성(주)	3050	대전광역시 대덕구 대화로52번길 115	대전광역시	대덕구	127.410825	36.3723487
세원화학(주)	2592	경기도 오산시 가장로 621-27	경기도	오산시	127.0443307	37.1602714
세일철강(주)	560	충청남도 아산시 인주면 아산호로 59	충청남도	아산시 인주면	126.925188	36.88984
세종공업(주)	1	울산광역시 북구 효자로 82	울산광역시	북구	129.368775	35.569042
세화금속공업(주)	0	경상북도 고령군 다산면 다산산단로 16	경상북도	고령군 다산면	128.3963883	35.7881312
세화금속공업(주)다산공장	0	경상북도 고령군 다산면 다산산단2길 64	경상북도	고령군 다산면	128.389303	35.7885341
세흥화학공업주식회사	20	경상남도 양산시 산막공단북4길 24	경상남도	양산시	129.0581844	35.3691551
소프트전자	1	경기도 안산시 단원구 산단로35번길 41 소프트전자	경기도	안산시 단원구	126.7807094	37.2996523
솔레니스코리아	27	경상북도 김천시 공단1길 11-48 솔레니스코리아	경상북도	김천시	128.1412121	36.1429717
솔브레인(주)	244	충청남도 공주시 공단길 34-12	충청남도	공주시	127.0748461	36.433072
송강산업(주)	92	충청북도 음성군 삼성면 대성로 547 73	충청북도	음성군 삼성면	127.4951524	37.0131248
송원산업(주)	0	울산광역시 남구 장생포로 83	울산광역시	남구	129.352313	35.5173
신기화학공업(주)	356	경상남도 양산시 소주로 119-44	경상남도	양산시	129.1509	35.4136362
신대한정유산업(주)	60	경기도 화성시 정남면 가장로 334-10	경기도	화성시 정남면	127.0155649	37.1610645
신동아공업사	0	부산광역시 사상구 낙동대로1016번길 65	부산광역시	사상구	128.9758125	35.1507321
신동페인트공업주식회사	28	경기도 안산시 단원구 성곡로 140	경기도	안산시 단원구	126.7589375	37.3217167
신생공업(주)	520	대구광역시 달서구 달서대로 154	대구광역시	달서구	128.501962	35.819167
신생금속공업(주)	0	경기도 시흥시 마유로238번길 113	경기도	시흥시	126.7388638	37.3329758
신신화학공업주식회사	0	경기도 안산시 단원구 동산로27번길 112	경기도	안산시 단원구	126.7893016	37.3223933
신아메드	35	경기도 안성시 보개면 보개원삼로 455-30	경기도	안성시 보개면	127.2878188	37.0430423
신암정유	486	충청남도 예산군 신암면 용산로 82-8	충청남도	예산군 신암면	126.7991979	36.7358033
신양금속공업(주)시화2공장	66	경기도 안산시 단원구 시화로 172	경기도	안산시 단원구	126.7421969	37.3196591
신양금속공업주식회사	4366	경기도 안산시 단원구 시화로 162	경기도	안산시 단원구	126.742948	37.3206148
신원금속(주)	6	경기도 안산시 단원구 산단로 39	경기도	안산시 단원구	126.7845553	37.2998309
신젠타코리아(주)	5	전라북도 익산시 석암로11길 87	전라북도	익산시	127.0101068	35.9467056
신진에스티피(주)	0	충청북도 음성군 맹동면 맹동산단1길 27-5	충청북도	음성군 맹동면	127.5641802	36.9224294
신풍제약(주)	4916	경기도 안산시 단원구 원시로 7	경기도	안산시 단원구	126.7768628	37.2986745
신화실업(주)	0	경기도 안산시 단원구 번영2로 31	경기도	안산시 단원구	126.7384681	37.3241596
쌍용머티리얼(주)	0	대구광역시 달서구 월암동 1-85번지	대구광역시	달서구	128.5086136	35.8315241
