주소	학교급	학교명	경도	위도	시도	행정구				
경기도 부천시 석천로 216-1 (중동)	유치원	중앙유치원	126.7620479	37.5067049	경기도	부천시				
경기도 부천시 원미구 도약로 111 . 중원고등학교 (중동)	고등학교	중원고등학교	126.762076	37.512093	경기도	부천시				
경기도 부천시 원미구 도약로 119 . 중원중학교 (중동)	중학교	중원중학교	126.7623255	37.5118154	경기도	부천시				
경기도 부천시 원미구 계남로 171 . 중흥고등학교 (중동)	고등학교	중흥고등학교	126.7686922	37.5081497	경기도	부천시				
경기도 부천시 원미구 신흥로 245 (중동.중흥중학교)	중학교	중흥중학교	126.774602	37.50615	경기도	부천시				
경기도 부천시 원미구 계남로 214 . 중흥초등학교 (중동)	초등학교	중흥초등학교	126.773269	37.5062885	경기도	부천시				
경기도 부천시 오정로211번길 64 (오정동.지혜샘유치원)	유치원	지혜샘유치원	126.7815175	37.5297858	경기도	부천시				
경기도 부천시 성오로 12-1 (작동.어깨동무어린이집)	유치원	진명유치원	126.8053546	37.5153256	경기도	부천시				
경기도 부천시 삼작로410번길 59 (원종동.미성아파트)	유치원	진호유치원	126.8074598	37.5177877	경기도	부천시				
경기도 부천시 소사구 은성로 109-26 (괴안동)	초등학교	창영초등학교	126.8050567	37.4749192	경기도	부천시				
경기도 부천시 조마루로 212-1	유치원	천사유치원	126.7668249	37.4978794	경기도	부천시				
경기도 부천시 조마루로85번길 18 (상동)	유치원	청심유치원	126.7525768	37.500933	경기도	부천시				
경기도 부천시 상일로 87 (상동.반달마을)	유치원	초록나무유치원	126.7512993	37.4916788	경기도	부천시				
경기도 부천시 중동로279번길 50	유치원	푸른솔유치원	126.766646	37.505218	경기도	부천시				
경기도 부천시 은성로 135 (소사본동.하늘유치원)	유치원	하늘유치원	126.804989	37.4729321	경기도	부천시				
경기도 부천시 성오로142번길 29 (오정동)	유치원	한사랑유치원	126.7995714	37.5271198	경기도	부천시				
경기도 부천시 장말로 102-1 (상동.반달마을)	유치원	해와달유치원	126.7521047	37.4933731	경기도	부천시				
경기도 부천시 성곡로97번길 48	유치원	행복한유치원	126.7929841	37.5216593	경기도	부천시				
경기도 부천시 조마루로 135-1 (중동.포도마을)	유치원	헤세드유치원	126.7584689	37.5002784	경기도	부천시				
경기도 부천시 범안로7번길 53 (괴안동)	유치원	혜성유치원	126.8082385	37.4821532	경기도	부천시				
경기도 부천시 소사구 소안로 20	유치원	홍지유치원	126.802611	37.4762651	경기도	부천시				
경기도 성남시 분당구 장안로25번길 28 (분당동. 건영아파트)	유치원	건영장안유치원	127.1408479	37.3711292	경기도	성남시				
경기도 성남시 중원구 원터로 25 . 검단초등학교 (하대원동)	초등학교	검단초등학교	127.1436375	37.4297013	경기도	성남시				
경기도 성남시 중원구 원터로 25 . 검단초등학교 (하대원동)	유치원	검단초등학교병설유치원	127.1436375	37.4297013	경기도	성남시				
경기도 성남시 수정구 남문로 59 (태평동)	유치원	경희유치원	127.1334477	37.4459883	경기도	성남시				
경기도 성남시 분당구 불정로 100 계원예술고등학교 (정자동)	고등학교	계원예술고등학교	127.1158508	37.3586403	경기도	성남시				
경기도 성남시 분당구 구미로173번길 29 (구미동. 구미중학교)	중학교	구미중학교	127.1236056	37.346346	경기도	성남시				
경기도 성남시 분당구 미금로22번길 25 (구미동)	초등학교	구미초등학교	127.1182643	37.3377236	경기도	성남시				
경기도 성남시 중원구 황송로 25 . 금광중학교 (금광동)	중학교	금광중학교	127.1710186	37.4471383	경기도	성남시				
경기도 성남시 수정구 남문로 112 . 금빛초등학교  (태평동)	초등학교	금빛초등학교	127.1405633	37.4473493	경기도	성남시				
경기도 성남시 수정구 남문로 112 . 금빛초등학교 (태평동)	유치원	금빛초등학교병설유치원	127.1405633	37.4473493	경기도	성남시				
경기도 성남시 중원구 금상로 97 . 금광1동 1645번지 (금광동)	초등학교	금상초등학교	127.1659817	37.4435387	경기도	성남시				
경기도 성남시 분당구 양현로 220 (이매동)	유치원	꾸러기유치원	127.1269943	37.4044049	경기도	성남시				
경기도 성남시 분당구 불정로 219 (정자동)	유치원	꿈나무유치원	127.1221125	37.3642737	경기도	성남시				
경기도 성남시 분당구 미금일로 58 (구미동)	유치원	꿈터유치원	127.1135062	37.3469899	경기도	성남시				
경기도 성남시 분당구 대왕판교로 477 . 낙생고등학교 (판교동)	고등학교	낙생고등학교	127.1008908	37.3870822	경기도	성남시				
경기도 성남시 분당구 서판교로74번길 11 (판교동)	초등학교	낙생초등학교	127.0991	37.3943737	경기도	성남시				
경기도 성남시 분당구 서판교로74번길 11 (판교동)	유치원	낙생초등학교병설유치원	127.0991	37.3943737	경기도	성남시				
경기도 성남시 분당구 서판교로132번길 11 (판교동)	중학교	낙원중학교	127.0965616	37.399366	경기도	성남시				
경기도 성남시 분당구 백현로 197 . 내정중학교 (수내동)	중학교	내정중학교	127.1192847	37.3706751	경기도	성남시				
경기도 성남시 분당구 내정로174번길 19 . 내정초등학교 (수내동)	초등학교	내정초등학교	127.1221514	37.3734318	경기도	성남시				
경기도 성남시 분당구 내정로 152 (수내동)	유치원	누리봄유치원	127.1183465	37.3721171	경기도	성남시				
경기도 성남시 분당구 성남대로407번길 26 (정자동)	고등학교	늘푸른고등학교	127.1052493	37.3733938	경기도	성남시				
경기도 성남시 분당구 정자일로 77 (정자동)	중학교	늘푸른중학교	127.1051	37.3572571	경기도	성남시				
경기도 성남시 분당구 정자일로 87 (정자동)	초등학교	늘푸른초등학교	127.1051	37.3581154	경기도	성남시				
경기도 성남시 분당구 정자일로 87 . 늘푸른초등학교 병설유치원 (정자동)	유치원	늘푸른초등학교병설유치원	127.1051	37.3581154	경기도	성남시				
경기도 성남시 중원구 산성대로408번길 48 (금광동)	유치원	다솜유치원	127.1636805	37.4479692	경기도	성남시				
경기도 성남시 중원구 광명로300번길 25 (금광동.단남초등학교)	초등학교	단남초등학교	127.1613572	37.4423971	경기도	성남시				
경기도 성남시 중원구 광명로 300 . 25 (금광동)	유치원	단남초등학교병설유치원	127.1594333	37.4442984	경기도	성남시				
경기도 성남시 수정구 단대로 30 . 단대초등학교 (단대동)	초등학교	단대초등학교	127.1575947	37.4536455	경기도	성남시				
경기도 성남시 수정구 단대로 30 . 단대초등학교 (단대동)	유치원	단대초등학교병설유치원	127.1575947	37.4536455	경기도	성남시				
경기도 성남시 분당구 분당로 196 (분당동)	초등학교	당촌초등학교	127.131112	37.3738039	경기도	성남시				
경기도 성남시 중원구 황송로 35 . 대원중학교 (금광동)	중학교	대원중학교	127.1721185	37.4473383	경기도	성남시				
경기도 성남시 중원구 희망로 343 . 24번길 (상대원동)	초등학교	대원초등학교	127.1579719	37.4364964	경기도	성남시				
경기도 성남시 중원구 희망로 343 . 24번길 (상대원동)	유치원	대원초등학교병설유치원	127.1579719	37.4364964	경기도	성남시				
경기도 성남시 중원구 금상로58번길 22 (상대원동.대일초등학교)	초등학교	대일초등학교	127.1642445	37.438506	경기도	성남시				
경기도 성남시 중원구 금상로58번길 22 (상대원동.대일초등학교)	유치원	대일초등학교병설유치원	127.1642445	37.438506	경기도	성남시				
경기도 성남시 중원구 시민로 14 (하대원동)	초등학교	대하초등학교	127.1516383	37.4316786	경기도	성남시				
경기도 성남시 중원구 시민로 14 . 대하초등학교병설유치원 (하대원동)	유치원	대하초등학교병설유치원	127.1516383	37.4316786	경기도	성남시				
경기도 성남시 분당구 야탑로 152 (야탑동)	유치원	도레미유치원	127.1357588	37.4094423	경기도	성남시				
경기도 성남시 중원구 도촌남로 22-1 . 도촌유치원 (도촌동)	유치원	도촌유치원	127.1497714	37.4138982	경기도	성남시				
경기도 성남시 중원구 도촌북로 50 . 도촌중학교 (도촌동.도촌중학교)	중학교	도촌중학교	127.1542707	37.4168473	경기도	성남시				
경기도 성남시 중원구 도촌남로 99 . 도촌초등학교 (도촌동)	초등학교	도촌초등학교	127.1581801	37.4147228	경기도	성남시				
경기도 성남시 중원구 도촌남로 99 . 도촌초등학교병설유치원 (도촌동)	유치원	도촌초등학교병설유치원	127.1581801	37.4147228	경기도	성남시				
경기도 성남시 분당구 이매로 105 . 돌마고등학교 (이매동)	고등학교	돌마고등학교	127.1322114	37.3931855	경기도	성남시				
경기도 성남시 분당구 야탑로 96-7 . 돌마초등학교 (야탑동)	초등학교	돌마초등학교	127.1301486	37.4093006	경기도	성남시				
경기도 성남시 중원구 원터로 84 (성남동.동광고등학교)	고등학교	동광고등학교	127.1435966	37.4347478	경기도	성남시				
경기도 성남시 중원구 원터로 84 (성남동.동광중학교)	중학교	동광중학교	127.1435966	37.4347478	경기도	성남시				
경기도 성남시 분당구 이매로 88 (이매동)	유치원	동명유치원	127.1301201	37.393186	경기도	성남시				
경기도 성남시 분당구 수내로 148 (수내동)	유치원	동산유치원	127.1228666	37.3720023	경기도	성남시				
경기도 성남시 분당구 구미로 50 (구미동)	유치원	동은유치원	127.1146099	37.3369043	경기도	성남시				
경기도 성남시 분당구 탄천로 49 (이매동)	중학교	매송중학교	127.1227372	37.3971183	경기도	성남시				
경기도 성남시 분당구 탄천로 95 (이매동)	유치원	문정유치원	127.1224717	37.4007185	경기도	성남시				
경기도 성남시 수정구 수정로332번길 6-4 (산성동)	유치원	미래유치원	127.1500609	37.4528845	경기도	성남시				
경기도 성남시 분당구 판교로 624-1 (야탑동)	유치원	배성유치원	127.1423535	37.4060241	경기도	성남시				
경기도 성남시 분당구 황새울로 124 (정자동. 백현중학교)	중학교	백현중학교	127.1105141	37.3712621	경기도	성남시				
경기도 성남시 분당구 백현로144번길 26 (정자동)	초등학교	백현초등학교	127.111064	37.372212	경기도	성남시				
경기도 성남시 분당구 백현로144번길 26 . 백현초등학교 (정자동)	유치원	백현초등학교병설유치원	127.111064	37.372212	경기도	성남시				
경기도 성남시 분당구 동판교로 124 (백현동)	고등학교	보평고등학교	127.1176842	37.3942817	경기도	성남시				
경기도 성남시 분당구 동판교로 131 (백현동)	중학교	보평중학교	127.1156981	37.3939766	경기도	성남시				
경기도 성남시 분당구 동판교로 154 . 보평초등학교 (삼평동)	초등학교	보평초등학교	127.1177005	37.3960212	경기도	성남시				
경기도 성남시 수정구 복정안골로 35 . 복정고등학교 (복정동)	고등학교	복정고등학교	127.1375907	37.4613891	경기도	성남시				
경기도 성남시 수정구 성남대로1480번길 25 (복정동.복정초등학교)	초등학교	복정초등학교	127.1297971	37.4625354	경기도	성남시				
경기도 성남시 수정구 성남대로1480번길 25 (복정동.복정초등학교)	유치원	복정초등학교병설유치원	127.1297971	37.4625354	경기도	성남시				
경기도 성남시 분당구 금곡로 289 (금곡동)	고등학교	분당경영고등학교	127.1095021	37.3560051	경기도	성남시				
경기도 성남시 분당구 내정로165번길 31 (수내동)	고등학교	분당고등학교	127.1161475	37.3755772	경기도	성남시				
경기도 성남시 분당구 분당로 271 . 분당대진고등학교  (분당동)	고등학교	분당대진고등학교	127.1382739	37.3695377	경기도	성남시				
경기도 성남시 분당구 구미로 130 . 20 (구미동)	유치원	분당성모유치원	127.1226097	37.3402379	경기도	성남시				
경기도 성남시 분당구 판교로592번길 13 . 분당영덕여자고등학교 (야탑동)	고등학교	분당영덕여자고등학교	127.1389479	37.4050512	경기도	성남시				
경기도 성남시 분당구 불정로 119 (정자동)	유치원	분당유치원	127.1181505	37.3599972	경기도	성남시				
경기도 성남시 분당구 불정로 174 (정자동)	고등학교	분당중앙고등학교	127.1239131	37.3606966	경기도	성남시				
경기도 성남시 분당구 분당로263번길 61 (서현동)	유치원	분당중앙유치원	127.1416661	37.3734556	경기도	성남시				
경기도 성남시 분당구 황새울로 4 (정자동)	중학교	분당중학교	127.1107144	37.3607797	경기도	성남시				
경기도 성남시 분당구 중앙공원로32번길 20 (서현동)	초등학교	분당초등학교	127.129512	37.3787951	경기도	성남시				
경기도 성남시 중원구 박석로25번길 39 (상대원동)	유치원	분도유치원	127.1614527	37.4350088	경기도	성남시				
경기도 성남시 분당구 금곡로 149 . 불곡고등학교 (구미동)	고등학교	불곡고등학교	127.1191389	37.348306	경기도	성남시				
경기도 성남시 분당구 금곡로 139 (구미동)	중학교	불곡중학교	127.1190764	37.3473394	경기도	성남시				
경기도 성남시 분당구 무지개로 129 . 불곡초등학교 (구미동)	초등학교	불곡초등학교	127.1191641	37.3410733	경기도	성남시				
경기도 성남시 분당구 돌마로 250 (정자동)	초등학교	불정초등학교	127.1199384	37.3619631	경기도	성남시				
경기도 성남시 분당구 양현로 515 (야탑동)	유치원	뽀뽀뽀유치원	127.1388582	37.4149839	경기도	성남시				
경기도 성남시 수정구 수정북로 101 (태평동)	유치원	사랑하는유치원	127.1404702	37.4444579	경기도	성남시				
경기도 성남시 분당구 판교원로117번길 11 . 산운유치원 (운중동)	유치원	산운유치원	127.0788623	37.3898964	경기도	성남시				
경기도 성남시 분당구 판교원로117번길 11 . 산운초등학교 (운중동)	초등학교	산운초등학교	127.0788623	37.3898964	경기도	성남시				
경기도 성남시 분당구 양현로 220 (이매동)	유치원	삼성유치원	127.1269943	37.4044049	경기도	성남시				
경기도 성남시 분당구 발이봉로15번길 1 (수내동)	유치원	삼육유치원	127.1275216	37.3654676	경기도	성남시				
경기도 성남시 분당구 동판교로 221 (삼평동)	유치원	삼평유치원	127.1163472	37.4023375	경기도	성남시				
경기도 성남시 분당구 대왕판교로644번길 77 (삼평동)	중학교	삼평중학교	127.1159315	37.4004451	경기도	성남시				
경기도 성남시 중원구 순환로214번길 16 . 상대원초등학교 (상대원동)	초등학교	상대원초등학교	127.1811441	37.4423531	경기도	성남시				
경기도 성남시 중원구 순환로214번길 16 . 상대원초등학교 (상대원동)	유치원	상대원초등학교병설유치원	127.1811441	37.4423531	경기도	성남시				
경기도 성남시 수정구 논골로35번길 6-1 (단대동)	중학교	상원여자중학교	127.1579821	37.4569784	경기도	성남시				
경기도 성남시 중원구 은행로 6 . 상원초등학교 (은행동)	초등학교	상원초등학교	127.1630317	37.4538206	경기도	성남시				
경기도 성남시 중원구 은행로 6 . 421번지 상원초등학교 병설유치원 (은행동)	유치원	상원초등학교병설유치원	127.1630317	37.4538206	경기도	성남시				
경기도 성남시 분당구 판교로 647 . 상탑초등학교 (야탑동)	초등학교	상탑초등학교	127.1457901	37.4064021	경기도	성남시				
경기도 성남시 분당구 판교로 647 (야탑동)	유치원	상탑초등학교병설유치원	127.1457901	37.4064021	경기도	성남시				
경기도 성남시 중원구 순환로453번길 51 (은행동)	유치원	새그린유치원	127.1677156	37.4590951	경기도	성남시				
경기도 성남시 분당구 정자로 105 (정자동)	유치원	새소망유치원	127.1165954	37.3638534	경기도	성남시				
경기도 성남시 분당구 내정로 185 (수내동)	유치원	샘터유치원	127.1203243	37.3754083	경기도	성남시				
경기도 성남시 분당구 수내로 201 (분당동)	유치원	샛별유치원	127.1291918	37.3705567	경기도	성남시				
경기도 성남시 분당구 불정로 288 (수내동)	중학교	샛별중학교	127.1304145	37.368212	경기도	성남시				
경기도 성남시 분당구 돌마로476번길 30 (서현동)	초등학교	서당초등학교	127.1344621	37.3747544	경기도	성남시				
경기도 성남시 분당구 판교원로 209 (판교동. 판교원마을)	유치원	서판교유치원	127.0902258	37.3876377	경기도	성남시				
경기도 성남시 분당구 분당로 87 (서현동)	고등학교	서현고등학교	127.12355	37.3817863	경기도	성남시				
경기도 성남시 분당구 중앙공원로 53 (서현동)	유치원	서현유치원	127.1268733	37.3841476	경기도	성남시				
경기도 성남시 분당구 중앙공원로 54-1 (서현동.서현중학교)	중학교	서현중학교	127.1337241	37.3808116	경기도	성남시				
경기도 성남시 분당구 중앙공원로39번길 12 . 서현초등학교 (서현동)	초등학교	서현초등학교	127.128687	37.3826947	경기도	성남시				
경기도 성남시 중원구 자혜로17번길 16 (은행동)	유치원	선경유치원	127.1629671	37.4515166	경기도	성남시				
경기도 성남시 분당구 장미로 153 (야탑동.성남금융고등학교)	고등학교	성남금융고등학교	127.1379602	37.4136337	경기도	성남시				
경기도 성남시 중원구 광명로361번길 23 (금광동)	중학교	성남동중학교	127.1645067	37.448438	경기도	성남시				
경기도 성남시 중원구 자혜로32번길 10 . 성남동초등학교 (금광동)	초등학교	성남동초등학교	127.1622194	37.4493212	경기도	성남시				
경기도 성남시 중원구 자혜로32번길 10 . 성남동초등학교 (금광동)	유치원	성남동초등학교병설유치원	127.1622194	37.4493212	경기도	성남시				
경기도 성남시 분당구 탄천로 97 . 성남매송초등학교 (이매동)	초등학교	성남매송초등학교	127.1227495	37.4020178	경기도	성남시				
경기도 성남시 수정구 논골로 79 (단대동.성남문원중학교)	중학교	성남문원중학교	127.1571695	37.4610944	경기도	성남시				
경기도 성남시 분당구 미금로 151 . 성남미금초등학교 (구미동)	초등학교	성남미금초등학교	127.1153268	37.3473727	경기도	성남시				
경기도 성남시 수정구 희망로534번길 26 . 3 (산성동)	초등학교	성남북초등학교	127.1527058	37.4527874	경기도	성남시				
경기도 성남시 수정구 희망로534번길 3 . 3 (산성동)	유치원	성남북초등학교병설유치원	127.1515875	37.4513763	경기도	성남시				
경기도 성남시 중원구 시민로 61 (성남동)	고등학교	성남서고등학교	127.1472713	37.4338647	경기도	성남시				
경기도 성남시 수정구 희망로 496 (단대동)	중학교	성남서중학교	127.1543951	37.449071	경기도	성남시				
경기도 성남시 수정구 태평로 19 (태평동)	초등학교	성남서초등학교	127.1317079	37.4489964	경기도	성남시				
경기도 성남시 분당구 동판교로 258 (삼평동)	초등학교	성남송현초등학교	127.1163528	37.4053461	경기도	성남시				
경기도 성남시 분당구 동판교로 258 (삼평동)	유치원	성남송현초등학교병설유치원	127.1163528	37.4053461	경기도	성남시				
경기도 성남시 수정구 제일로123번길 9 . 성남수정초등학교 (수진동)	초등학교	성남수정초등학교	127.1320602	37.436539	경기도	성남시				
경기도 성남시 수정구 제일로123번길 9 . 성남수정초 (수진동)	유치원	성남수정초등학교병설유치원	127.1320602	37.436539	경기도	성남시				
경기도 성남시 분당구 황새울로 74 (정자동)	초등학교	성남신기초등학교	127.1104767	37.3670791	경기도	성남시				
경기도 성남시 수정구 공원로436번길 17 (신흥동)	초등학교	성남신흥초등학교	127.1435234	37.4506353	경기도	성남시				
경기도 성남시 수정구 논골로36번길 36 . 성남양지초등학교 (양지동)	초등학교	성남양지초등학교	127.1619488	37.4594026	경기도	성남시				
경기도 성남시 수정구 논골로36번길 36 . 성남양지병설유치원 (양지동)	유치원	성남양지초등학교병설유치원	127.1619488	37.4594026	경기도	성남시				
경기도 성남시 중원구 여수울로 37 (여수동)	유치원	성남여수유치원	127.1331442	37.4192078	경기도	성남시				
경기도 성남시 중원구 여수울로 37 . 성남여수초등학교 (여수동)	초등학교	성남여수초등학교	127.1331442	37.4192078	경기도	성남시				
경기도 성남시 중원구 원터로94번길 6 (성남동)	고등학교	성남여자고등학교	127.1447839	37.436006	경기도	성남시				
경기도 성남시 수정구 공원로 446 성남여중 (신흥동)	중학교	성남여자중학교	127.1425587	37.4502623	경기도	성남시				
경기도 성남시 분당구 대왕판교로385번길 28 (백현동)	고등학교	성남외국어고등학교	127.0965785	37.3782794	경기도	성남시				
경기도 성남시 중원구 순환로447번길 11 . 성남은행초등학교 (은행동)	초등학교	성남은행초등학교	127.1705625	37.4611763	경기도	성남시				
경기도 성남시 중원구 순환로447번길 11 . 성남은행초등학교 (은행동)	유치원	성남은행초등학교병설유치원	127.1705625	37.4611763	경기도	성남시				
경기도 성남시 분당구 장안로51번길 10 . 성남장안초등학교 (분당동)	초등학교	성남장안초등학교	127.1442733	37.3725209	경기도	성남시				
경기도 성남시 분당구 장안로51번길 10 . 성남장안초등학교 (분당동)	유치원	성남장안초등학교병설유치원	127.1442733	37.3725209	경기도	성남시				
경기도 성남시 분당구 분당수서로 442 . 성남정자초등학교  (정자동)	초등학교	성남정자초등학교	127.105202	37.3745284	경기도	성남시				
경기도 성남시 분당구 분당수서로 442 . 성남정자초등학교병설유치원 (정자동)	유치원	성남정자초등학교병설유치원	127.105202	37.3745284	경기도	성남시				
경기도 성남시 중원구 광명로184번길 23 (중앙동)	초등학교	성남제일초등학교	127.1495709	37.4384974	경기도	성남시				
경기도 성남시 중원구 광명로184 (중앙동)	유치원	성남제일초등학교병설유치원	127.1478444	37.4394194	경기도	성남시				
경기도 성남시 중원구 원터로94번길 7 . 성남중앙초등학교 (성남동)	초등학교	성남중앙초등학교	127.143659	37.436231	경기도	성남시				
경기도 성남시 중원구 원터로94번길 7 . 2580 성남중앙초등학교병설유치원 (성남동)	유치원	성남중앙초등학교병설유치원	127.143659	37.436231	경기도	성남시				
경기도 성남시 중원구 원터로 64 (성남동)	중학교	성남중학교	127.1442091	37.4323232	경기도	성남시				
경기도 성남시 수정구 수정로 233 . 성남초등학교 (태평동)	초등학교	성남초등학교	127.1443587	37.4463046	경기도	성남시				
경기도 성남시 중원구 둔촌대로258번길 7 . 성남테크노과학고등학교 (하대원동)	고등학교	성남테크노과학고등학교	127.1477214	37.4279655	경기도	성남시				
경기도 성남시 수정구 수정로 233 . 성남푸른유치원 (태평동)	유치원	성남푸른유치원	127.1443587	37.4463046	경기도	성남시				
경기도 성남시 수정구 희망로518번길 8 . 성남혜은학교 (단대동)	특수학교	성남혜은학교	127.154025	37.4502789	경기도	성남시				
경기도 성남시 분당구 동판교로 77 (백현동)	초등학교	성남화랑초등학교	127.1160411	37.3900999	경기도	성남시				
경기도 성남시 분당구 동판교로 77 (백현동)	유치원	성남화랑초등학교병설유치원	127.1160411	37.3900999	경기도	성남시				
경기도 성남시 분당구 매화로37번길 5 (야탑동)	유치원	성마르코유치원	127.1331618	37.4108437	경기도	성남시				
경기도 성남시 수정구 논골로 82 . 성보경영고등학교 (단대동)	고등학교	성보경영고등학교	127.1585763	37.4618378	경기도	성남시				
경기도 성남시 수정구 모란로 11 . (수진동)	초등학교	성수초등학교	127.1271357	37.4345476	경기도	성남시				
경기도 성남시 수정구 모란로 11 . 성수초등학교 (수진동)	유치원	성수초등학교병설유치원	127.1271357	37.4345476	경기도	성남시				
경기도 성남시 분당구 돌마로 866 . 1층 (야탑동)	특수학교	성은학교	127.1446472	37.4093009	경기도	성남시				
경기도 성남시 중원구 시민로77번길 10 (성남동)	고등학교	성일고등학교	127.1457339	37.4348812	경기도	성남시				
경기도 성남시 중원구 시민로77번길 10 . 성일정보고등학교 (성남동)	고등학교	성일정보고등학교	127.1457339	37.4348812	경기도	성남시				
경기도 성남시 중원구 시민로77번길 10 . 성일중학교 (성남동)	중학교	성일중학교	127.1457339	37.4348812	경기도	성남시				
경기도 성남시 분당구 무지개로 144 (구미동)	유치원	성지유치원	127.118438	37.3393982	경기도	성남시				
경기도 성남시 수정구 탄리로 31 (수진동)	유치원	성체유치원	127.1374742	37.4390648	경기도	성남시				
경기도 성남시 분당구 불정로 362 (서현동)	유치원	세화유치원	127.1363375	37.3723987	경기도	성남시				
경기도 성남시 분당구 정자일로 30 (금곡동)	유치원	솔빛유치원	127.1070739	37.3529827	경기도	성남시				
경기도 성남시 분당구 이매로 100 (이매동)	고등학교	송림고등학교	127.1305507	37.3916716	경기도	성남시				
경기도 성남시 분당구 이매로 100 (이매동)	중학교	송림중학교	127.1305507	37.3916716	경기도	성남시				
경기도 성남시 분당구 발이봉북로 15 . 수내고등학교 (수내동)	고등학교	수내고등학교	127.1295624	37.3660879	경기도	성남시				
경기도 성남시 분당구 수내로192번길 12 . 수내중학교 (수내동)	중학교	수내중학교	127.1264876	37.3706541	경기도	성남시				
경기도 성남시 분당구 백현로243번길 12 . 수내초등학교 (수내동)	초등학교	수내초등학교	127.1245253	37.3678293	경기도	성남시				
경기도 성남시 수정구 모란로 55 . 수진중학교 (수진동)	중학교	수진중학교	127.1239637	37.4371922	경기도	성남시				
경기도 성남시 수정구 탄리로95번길 16 . 수진초등학교 (태평동)	초등학교	수진초등학교	127.1328144	37.4445465	경기도	성남시				
경기도 성남시 수정구 탄리로95번길 16 (태평동)	유치원	수진초등학교병설유치원	127.1328144	37.4445465	경기도	성남시				
경기도 성남시 중원구 황송로77번길 34 (금광동)	고등학교	숭신여자고등학교	127.1696561	37.4498296	경기도	성남시				
경기도 성남시 중원구 황송로 77번길 . 34 (금광동)	중학교	숭신여자중학교	127.1696561	37.4498296	경기도	성남시				
경기도 성남시 분당구 서판교로132번길 12 (판교동)	유치원	숲리라유치원	127.0974697	37.398572	경기도	성남시				
경기도 성남시 분당구 장미로 55 (야탑동)	유치원	숲속그림유치원	127.1255131	37.4154047	경기도	성남시				
경기도 성남시 중원구 광명로 377 (금광동)	유치원	신구대학부속유치원	127.1684937	37.4488771	경기도	성남시				
경기도 성남시 수정구 수정로 289 (신흥동)	유치원	신동유치원	127.1462688	37.453108	경기도	성남시				
경기도 성남시 분당구 판교역로50번길 19 (백현동)	중학교	신백현중학교	127.1102734	37.3861748	경기도	성남시				
경기도 성남시 분당구 판교역로14번길 42 . 신백현초등학교 (백현동)	초등학교	신백현초등학교	127.1119402	37.3874339	경기도	성남시				
경기도 성남시 분당구 판교역로14번길 42 . 신백현초등학교 (백현동)	유치원	신백현초등학교병설유치원	127.1119402	37.3874339	경기도	성남시				
경기도 성남시 분당구 불정로 195 (정자동)	유치원	신양유치원	127.1226547	37.3618555	경기도	성남시				
경기도 성남시 수정구 공원로 432 (신흥동)	유치원	신흥동성당부설성모유치원	127.1432296	37.4490797	경기도	성남시				
경기도 성남시 분당구 산운로208번길 14-2 (운중동)	유치원	아름나유치원	127.0835055	37.3917684	경기도	성남시				
경기도 성남시 분당구 수내로 74 (수내동)	유치원	아름다운유치원	127.1184705	37.3788694	경기도	성남시				
경기도 성남시 분당구 동판교로 275 (삼평동. 봇들마을)	유치원	아리솔유치원	127.1127601	37.4066508	경기도	성남시				
경기도 성남시 수정구 희망로518번길 5 (산성동)	유치원	아이비유치원	127.1529154	37.450336	경기도	성남시				
경기도 성남시 분당구 양현로 104 . 안말초등학교 (이매동)	초등학교	안말초등학교	127.125887	37.3932937	경기도	성남시				
경기도 성남시 분당구 느티로 70 (정자동)	유치원	안촌유치원	127.1137577	37.3673655	경기도	성남시				
경기도 성남시 분당구 판교로 738 (야탑동. 야탑고등학교)	고등학교	야탑고등학교	127.153309	37.4036266	경기도	성남시				
경기도 성남시 분당구 양현로 442 . 야탑중학교 (야탑동)	중학교	야탑중학교	127.1315108	37.4166083	경기도	성남시				
경기도 성남시 분당구 불정로386번길 35 (서현동)	고등학교	양영디지털고등학교	127.1410486	37.3739457	경기도	성남시				
경기도 성남시 분당구 돌마로486번길 23 . 양영중학교 (서현동)	중학교	양영중학교	127.1357865	37.3766454	경기도	성남시				
경기도 성남시 분당구 불정로406번길 17 (서현동)	초등학교	양영초등학교	127.1395237	37.3747289	경기도	성남시				
경기도 성남시 수정구 태평로124번길 8 (태평동)	유치원	양지유치원	127.1400956	37.4508077	경기도	성남시				
경기도 성남시 분당구 미금로 184 (구미동)	유치원	열린이화유치원	127.1173704	37.3505261	경기도	성남시				
경기도 성남시 수정구 수정로 386 (산성동)	중학교	영성여자중학교	127.1521826	37.4577365	경기도	성남시				
경기도 성남시 중원구 둔촌대로248번길 7 . 영성중학교 (하대원동)	중학교	영성중학교	127.146634	37.4273489	경기도	성남시				
경기도 성남시 분당구 정자로 112 (정자동)	유치원	예쁜유치원	127.1177746	37.3629261	경기도	성남시				
경기도 성남시 중원구 원터로93번길 3 (성남동)	유치원	예원유치원	127.1431949	37.4350424	경기도	성남시				
경기도 성남시 분당구 정자로 143 (정자동)	유치원	예은유치원	127.1202398	37.3653575	경기도	성남시				
경기도 성남시 분당구 미금일로74번길 10 (구미동)	유치원	예자람유치원	127.1117812	37.3465488	경기도	성남시				
경기도 성남시 중원구 산성대로552번길 11 (은행동)	유치원	오렌지유치원	127.1670032	37.4593568	경기도	성남시				
