주소	학교급	학교명	경도	위도	시도	행정구				
강원도 강릉시 사천면 석교골말길 8 (사천면)	중학교	사천중학교	128.8457045	37.8279982	강원도	강릉시				
강원도 강릉시 사천면 미노길 46 (사천면)	초등학교	사천초등학교	128.850513	37.821887	강원도	강릉시				
강원도 강릉시 사천면 미노길 46 (사천면)	유치원	사천초등학교병설유치원	128.850513	37.821887	강원도	강릉시				
강원도 강릉시 주문진읍 교항안길 23 (주문진읍) 새롬유치원	유치원	새롬유치원	128.8205131	37.8844151	강원도	강릉시				
강원도 강릉시 용지로 60 . 성덕초등학교 (입암동)	초등학교	성덕초등학교	128.9099536	37.7571122	강원도	강릉시				
강원도 강릉시 용지로 60 (입암동)	유치원	성덕초등학교병설유치원	128.9099536	37.7571122	강원도	강릉시				
강원도 강릉시 성산면 구산길 15 (성산면)	초등학교	성산초등학교	128.8331809	37.7184299	강원도	강릉시				
강원도 강릉시 성산면 구산길 15 (성산면)	유치원	성산초등학교병설유치원	128.8331809	37.7184299	강원도	강릉시				
강원도 강릉시 강변로 78 (회산동)	유치원	성원유치원	128.8775676	37.7438145	강원도	강릉시				
강원도 강릉시 수리골길 6-7 . 성혜유치원 (포남동)	유치원	성혜유치원	128.9013721	37.7710885	강원도	강릉시				
강원도 강릉시 월대산로 45-1 성화유치원 (입암동)	유치원	성화유치원	128.915325	37.7604296	강원도	강릉시				
강원도 강릉시 임영로 148 (임당동)	유치원	소화유치원	128.8924991	37.754147	강원도	강릉시				
강원도 강릉시 솔올로 102 . 솔올중학교 (교동)	중학교	솔올중학교	128.8798812	37.7710298	강원도	강릉시				
강원도 강릉시 보래미하길 78 . 솔향유치원 (포남동)	유치원	솔향유치원	128.9141495	37.7755788	강원도	강릉시				
강원도 강릉시 성산면 위촌길 198 (성산면)	초등학교	송양초등학교	128.8472788	37.7588259	강원도	강릉시				
강원도 강릉시 주문진읍 주문북로 160 (주문진읍)	초등학교	신영초등학교	128.822445	37.9063883	강원도	강릉시				
강원도 강릉시 주문진읍 주문북로 160 (주문진읍)	유치원	신영초등학교병설유치원	128.822445	37.9063883	강원도	강릉시				
강원도 강릉시 연곡면 진고개로 2265-11 . 신왕초등학교 (연곡면)	초등학교	신왕초등학교	128.78775	37.8536758	강원도	강릉시				
강원도 강릉시 연곡면 진고개로 2323 . 신왕초등학교병설유치원 (연곡면)	유치원	신왕초등학교병설유치원	128.7952152	37.8525561	강원도	강릉시				
강원도 강릉시 연곡면 진고개로 2656 (연곡면)	초등학교	연곡초등학교	128.829575	37.856199	강원도	강릉시				
강원도 강릉시 연곡면 진고개로 2656 (연곡면)	유치원	연곡초등학교병설유치원	128.829575	37.856199	강원도	강릉시				
강원도 강릉시 화부산로 28 . 영동초등학교 (교동)	초등학교	영동초등학교	128.8865559	37.7603231	강원도	강릉시				
강원도 강릉시 화부산로 28 . 영동초등학교 (교동)	유치원	영동초등학교병설유치원	128.8865559	37.7603231	강원도	강릉시				
강원도 강릉시 옥계면 천남길 38-13 . 옥계중학교 (옥계면)	중학교	옥계중학교	129.0331092	37.6025861	강원도	강릉시				
강원도 강릉시 옥계면 옥계로 1074 옥계초등학교(옥계면)	초등학교	옥계초등학교	129.0350429	37.609988	강원도	강릉시				
강원도 강릉시 옥계면 옥계로 1074 . 옥계초등학교 (옥계면)	유치원	옥계초등학교병설유치원	129.0350429	37.609988	강원도	강릉시				
강원도 강릉시 수문길 25 . 옥천초등학교 (옥천동)	초등학교	옥천초등학교	128.9026545	37.7565572	강원도	강릉시				
강원도 강릉시 수문길 25 옥천초등학교 병설유치원 (옥천동)	유치원	옥천초등학교병설유치원	128.9026545	37.7565572	강원도	강릉시				
강원도 강릉시 운산길 79-15 . 옥천초운산분교장 (운산동)	초등학교	옥천초등학교운산분교장	128.9375073	37.7298271	강원도	강릉시				
강원도 강릉시 왕산면 백두대간로 2005 (왕산면)	중학교	왕산중학교	128.8367753	37.6729593	강원도	강릉시				
강원도 강릉시 왕산면 백두대간로 2011-8 . 2011-8 왕산초등학교 (왕산면)	초등학교	왕산초등학교	128.8360454	37.6735577	강원도	강릉시				
강원도 강릉시 왕산면 백두대간로 2011-8 . 2011-8 왕산초등학교 (왕산면)	유치원	왕산초등학교병설유치원	128.8360454	37.6735577	강원도	강릉시				
강원도 강릉시 사천면 이설당1길 36 . 25435 (사천면)	초등학교	운양초등학교	128.8587946	37.8369994	강원도	강릉시				
강원도 강릉시 가작로 125 (교동)	중학교	율곡중학교	128.8886429	37.77058	강원도	강릉시				
강원도 강릉시 원대로 129 (교동)	초등학교	율곡초등학교	128.8814004	37.7661727	강원도	강릉시				
강원도 강릉시 강동면 임곡로 890-14 . 임곡초등학교 (강동면)	초등학교	임곡초등학교	128.9692072	37.6774212	강원도	강릉시				
강원도 강릉시 강동면 헌화로 1055 (강동면.정동초등학교)	초등학교	정동초등학교	129.0334625	37.6876513	강원도	강릉시				
강원도 강릉시 강동면 헌화로 1055 (강동면.정동초등학교)	유치원	정동초등학교병설유치원	129.0334625	37.6876513	강원도	강릉시				
강원도 강릉시 성덕로 328-1 (입암동)	유치원	제이엠유치원	128.9209158	37.7535238	강원도	강릉시				
강원도 강릉시 남부로 136 (노암동)	유치원	좋은유치원	128.8953564	37.7419889	강원도	강릉시				
강원도 강릉시 주문진읍 학교길 28 . 주문진고등학교 (주문진읍)	고등학교	주문진고등학교	128.830038	37.881315	강원도	강릉시				
강원도 강릉시 주문진읍 연주로 294 주문진중학교	중학교	주문진중학교	128.827888	37.880232	강원도	강릉시				
강원도 강릉시 주문진읍 주문로 26 . 주문진초등학교 (주문진읍)	초등학교	주문진초등학교	128.8265729	37.8871854	강원도	강릉시				
강원도 강릉시 주문진읍 주문로 26 . 주문진초등학교 (주문진읍)	유치원	주문진초등학교병설유치원	128.8265729	37.8871854	강원도	강릉시				
강원도 강릉시 주문진읍 신리천로 410-8 . 주문진초등학교삼덕분교 (주문진읍)	초등학교	주문진초등학교삼덕분교장	128.7885846	37.8787271	강원도	강릉시				
강원도 강릉시 주문진읍 약수동길 15-12 . 주영초등학교 (주문진읍)	초등학교	주영초등학교	128.8267105	37.8983244	강원도	강릉시				
강원도 강릉시 주문진읍 약수동길 15-12 . 주영초등학교 (주문진읍)	유치원	주영초등학교병설유치원	128.8267105	37.8983244	강원도	강릉시				
강원도 강릉시 성덕포남로 18 . 중앙초등학교 (입암동)	초등학교	중앙초등학교	128.9228989	37.7580748	강원도	강릉시				
강원도 강릉시 성덕포남로 18 . 중앙초등학교 (입암동)	유치원	중앙초등학교병설유치원	128.9228989	37.7580748	강원도	강릉시				
강원도 강릉시 가작로 287 (포남동)	유치원	청담유치원	128.9066941	37.7702683	강원도	강릉시				
강원도 강릉시 성덕로 232-11 (두산동)	유치원	청송유치원	128.9295468	37.7601597	강원도	강릉시				
강원도 강릉시 연당길 35-11 (초당동)	초등학교	초당초등학교	128.9131402	37.781754	강원도	강릉시				
강원도 강릉시 연당길 35-11 (초당동.초당초등학교)	유치원	초당초등학교병설유치원	128.9131402	37.781754	강원도	강릉시				
강원도 강릉시 가작로287번길 20 포남초등학교 (포남동)	초등학교	포남초등학교	128.9057037	37.7729717	강원도	강릉시				
강원도 강릉시 가작로287번길 20 . 포남초등학교 (포남동)	유치원	포남초등학교병설유치원	128.9057037	37.7729717	강원도	강릉시				
강원도 강릉시 율곡로3173번길 19 . 프렌비숲유치원 (죽헌동)	유치원	프렌비숲유치원	128.877689	37.7816062	강원도	강릉시				
강원도 강릉시 율곡로 2692 . 하슬라유치원 (입암동)	유치원	하슬라유치원	128.9089789	37.7482161	강원도	강릉시				
강원도 강릉시 보래미길 9 . 하슬라중학교 (포남동)	중학교	하슬라중학교	128.9070911	37.7722885	강원도	강릉시				
